真实浓度,预测浓度,浓度区间标签,预测浓度区间,风�?259.1,314.16864,2,3,1.48
146.9,143.97702,1,1,1.07,,,,
61.8,48.883007,0,0,1.97,,,,
555.7,519.03644,5,5,0.52,,,,
566.1,858.56354,5,8,1.48,,,,
546.9,636.44037,5,6,0.52,,,,
637.4,587.21747,6,6,0.52,,,,
761.3,664.1961,7,6,1.97,,,,
448,412.08615,4,4,1.07,,,,
579.6,543.1733,5,5,1.97,,,,
857.9,763.93555,8,7,0.23,,,,
754.1,585.2206,7,6,1.07,,,,
660.1,743.7238,6,7,1.97,,,,
862.1,756.3139,8,7,1.48,,,,
968.4,949.58136,9,9,0.52,,,,
264.4,330.96732,2,3,1.07,,,,
523,490.16495,5,5,1.07,,,,
566.1,626.8034,5,6,1.48,,,,
350.7,413.69437,3,4,0.52,,,,
175.2,142.7056,1,1,0.23,,,,
46.8,49.66194,0,0,0.52,,,,
756.9,710.7228,7,7,1.07,,,,
467.2,561.0461,4,5,1.97,,,,
445.9,449.29575,4,4,0.52,,,,
633.7,697.6679,6,7,1.48,,,,
256.1,232.48528,2,2,0.23,,,,
635.1,710.7409,6,7,0.23,,,,
761.3,699.2675,7,7,1.97,,,,
872.5,722.31,8,7,0.23,,,,
462.5,453.80905,4,4,0.23,,,,
718.5,701.5652,7,7,1.48,,,,
955.3,941.2546,9,9,1.97,,,,
949.2,918.2994,9,9,0.23,,,,
754.1,875.4307,7,9,1.07,,,,
862.1,916.1115,8,9,1.48,,,,
355.9,394.69965,3,4,1.97,,,,
973.9,848.2625,9,8,1.07,,,,
927.5,824.00494,9,8,1.48,,,,
824.2,788.1251,8,8,1.48,,,,
452.2,419.2541,4,4,0.23,,,,
52.8,54.3312,0,0,1.07,,,,
753.2,670.5562,7,6,1.07,,,,
448,439.99594,4,4,1.07,,,,
235.6,239.2465,2,2,1.07,,,,
149.7,153.6203,1,1,0.52,,,,
376.2,316.0967,3,3,1.48,,,,
288.6,253.97462,2,2,0.52,,,,
660.1,709.95966,6,7,1.97,,,,
362.7,357.8187,3,3,0.23,,,,
443.4,424.14297,4,4,0.52,,,,
166.9,156.9147,1,1,1.97,,,,
756.9,740.54865,7,7,1.07,,,,
145.9,144.34222,1,1,1.48,,,,
646.2,624.51495,6,6,1.48,,,,
830.9,853.10626,8,8,1.97,,,,
762.7,791.34344,7,8,0.52,,,,
543.1,594.2649,5,6,0.52,,,,
244.7,278.4009,2,2,1.97,,,,
145.3,145.53355,1,1,1.07,,,,
743.7,674.2142,7,6,0.52,,,,
457,603.8078,4,6,0.52,,,,
674.5,747.28406,6,7,1.97,,,,
456.2,353.32007,4,3,1.48,,,,
973.9,965.664,9,9,1.07,,,,
743.7,715.2596,7,7,0.52,,,,
241.1,232.00076,2,2,1.97,,,,
181.2,167.07765,1,1,1.48,,,,
462.5,467.67038,4,4,0.23,,,,
640.4,586.44885,6,6,1.48,,,,
439.5,357.41144,4,3,1.97,,,,
145.3,140.64008,1,1,1.07,,,,
152.3,156.64929,1,1,0.52,,,,
535.1,623.7032,5,6,0.23,,,,
457,657.2567,4,6,0.52,,,,
976.8,898.4644,9,9,0.23,,,,
828.7,799.34735,8,8,1.97,,,,
659.5,747.045,6,7,1.48,,,,
569.8,673.6423,5,6,0.23,,,,
23.8,70.558266,0,0,1.97,,,,
968.4,969.3392,9,9,0.52,,,,
673.9,713.8851,6,7,1.07,,,,
